,cq,baseline,plateau,slope,inflection,asymmetry,drift,CurveCall
95266,39.358583467255,21.158814298504,41.744869611366,-0.46446544313742,35.47764277834,5.5,0.17050936547725,True
372677,40.707944474072,11.689557974811,24.860904277099,-0.3611664518289,35.71699687155,5.5,0.068638543392602,True
177494,,20.52960930729,20.843893792351,-0.01,32.731529749888,4.6212734107204,0.01739282134112,False
177485,,19.036638427274,34.42001794653,-0.56550143424406,47.032552946614,5.5,0.03541123028173,False
26410,38.199915587839,25.581121597689,55.387152438503,-0.42122132250538,33.920543342044,5.5,0.020116796636056,True
177509,38.375790954422,20.647585874853,39.166446106613,-0.4268606344414,34.152954057725,5.5,0.066143714979591,True
340622,37.65030325012,23.728425367385,51.665695698362,-0.46084224812211,33.73885015698,5.5,0.0065334316332315,True
22831,,16.804706427056,25.106192232184,-1.046936004753,60.0,0.5,0.02574404381457,False
438292,43.680732863523,13.134660073592,36.501426428441,-0.45206222868917,40.292841120309,4.6665704401414,-0.0013109833593974,True
99037,38.702279638107,22.150936741779,46.5030776154,-0.43054558684154,34.51558514638,5.5,0.029475296289085,True
181988,48.367939650406,21.075306799089,35.524134072936,-0.4987192053869,44.753555408941,5.5,0.046528129196895,False
94957,39.646558156866,21.488969491101,45.328826075847,-0.41838087531806,35.338132645073,5.5,0.11475702113084,True
132193,,20.954889826296,22.00031016107,-0.01,40.313758787805,1.5386886144088,0.056485557176039,False
21925,38.371069694399,22.016977730403,49.302525000577,-0.39197429945389,33.772393609314,5.5,0.0058020483984531,True
132230,38.712207121187,17.084125762238,35.223676738629,-0.45098014669047,34.715217785637,5.5,0.059256056611313,True
382947,38.18835720957,14.705083936129,35.930840650715,-0.41050676391863,33.797289886684,5.5,0.032919865287975,True
364803,,12.899984672502,19.265996734862,-0.4522902178257,60.0,0.5,-0.015037629032321,False
313401,38.895666310544,14.429202729031,29.525084966872,-0.45632446603602,34.945488375696,5.5,0.010329118071633,True
23300,16.721607314026,21.103995913173,22.332757436352,-0.23107956313499,8.920991749362,5.5,0.02735570725233,False
54554,39.437921018131,21.94039921622,38.647936840338,-0.45614792766985,35.486214285461,5.5,0.042591230312402,True
122124,38.610827653515,16.722387665529,34.374191469557,-0.45769092341712,34.672443157252,5.5,0.06101305203821,True
107321,48.647238953126,22.161331146475,40.044371794255,-0.60902505913591,45.687487445652,5.5,0.10610546745223,False
214016,38.225388564191,23.768212814006,47.005556340429,-0.47765395634896,34.451604608449,5.5,0.064039561983815,True
313360,48.197259351812,17.153919611687,26.90307723673,-0.90406601734071,49.675270858521,1.1003655309868,0.0091661574529442,False
133227,45.377580552684,20.456667985004,41.028423774923,-0.45915167818941,41.4517257154,5.5,0.16781168592465,False
364832,47.681069649472,16.95186024515,29.423279968937,-0.42422923005295,44.657270794613,4.0264157895507,0.02902244093304,False
313377,46.849952568744,15.309942754236,21.905427280458,-0.89869218890658,48.671750015936,0.98068974731007,0.011289855731963,False
132229,39.942412806772,17.617860911132,36.823726105376,-0.39958492814795,35.431324650315,5.5,0.063093719675525,True
25500,47.828618767999,12.773717190489,19.638328431653,-0.74886693316569,48.728090509789,1.4537505074482,0.048329212620335,False
25504,40.849140028657,19.623660719482,26.317207920026,-0.38151367165089,44.114412585496,1.1406717507572,-0.018372886954635,False
107699,,24.066472957572,25.256619307266,-0.01,34.115275673052,3.4858280050415,0.066086807767602,False
217422,46.44774997429,14.606410752711,26.434248428031,-0.46274803787694,42.552405879182,5.5,0.045475479820417,False
25114,,15.726902915336,50.553807718824,-0.37108566826438,47.973173447386,5.5,0.032166324690124,False
382961,16.146375335737,14.147347228031,15.655935308728,-0.16818630683241,5.4287201899897,5.5,0.036733947290868,False
149884,37.964536437592,20.581783723869,43.33392249469,-0.43987770830898,33.866663772491,5.5,0.032765453658762,True
266295,37.914690743597,20.324387213503,41.859338986374,-0.45255473334357,33.931608247589,5.5,0.053581543501714,True
25425,,22.689285601736,23.903409261086,-0.01,39.198470078872,1.5153127683603,0.069849849736682,False
25538,22.781875630416,23.028743414217,23.991722067186,-0.16401273799649,11.791492451121,5.5,0.03395398907565,False
125760,,8.5907894213867,26.940108489658,-0.085456127514396,0.0,0.5,0.085681448001632,False
149853,38.470787653466,16.528180211832,37.23657200654,-0.42644172593642,34.243802517552,5.5,0.064148213885492,True
30120,38.682635464614,22.929486874636,51.109141881892,-0.4155782997778,34.345154807346,5.5,0.044300320482178,True
154318,23.602678914437,16.609483936876,31.316739181774,-0.056197838815316,0.0,4.1309939688191,-0.1099342719114,False
340627,39.773995454316,11.7111366055,28.798004207479,-0.31312131652476,34.017240031617,5.5,0.019182096370376,True
181996,37.942892957877,19.680446572093,36.620499930315,-0.44784291279398,33.917903870474,5.5,0.042330124436998,True
372826,38.187135545302,17.044474154863,38.816098176497,-0.39831714113851,33.66168923457,5.5,0.0034105055613866,True
292002,48.63673214786,18.715594968368,22.913531726185,-1.9592203144619,50.630836928609,0.5,0.040448064595688,False
54594,38.495899999037,20.680645903974,41.935142213087,-0.43729194311386,34.373796069952,5.5,0.045634038611814,True
22313,39.048225958872,20.205701373384,38.116213695351,-0.38293394463354,34.340983725249,5.5,0.034311688391411,True
54730,39.27152027256,27.847558481865,45.769608538331,-0.45211746229782,35.284585488609,5.5,0.032641595312986,True
26784,38.818393712996,22.863480013551,45.217536378126,-0.42352241639144,34.562272272659,5.5,0.066242326967815,True
53464,38.469426299637,15.394848126453,32.480499135837,-0.45281012604288,34.488590330664,5.5,0.035455955328157,True
243201,,16.017297330595,208.3111410715,-1.3205404532888,60.0,0.5,0.0028682309241011,False
38295,38.739226496916,21.460089892937,47.281829180239,-0.44863740363479,34.721365252484,5.5,0.19406459841158,True
21899,38.45372100391,18.736934975902,41.023782816942,-0.39609111956344,33.90284180507,5.5,0.034534302744101,True
268039,21.757094161205,18.881537312606,20.56810850894,-0.17473414063012,27.440592098576,1.2655288936601,0.057349029120773,False
272076,47.396599122177,14.897821666758,35.828594628841,-0.37323884099978,42.567083437159,5.5,0.026419631031955,False
214699,,16.057757142764,29.610666244959,-0.043918471766872,0.0,3.3514643097585,-0.11628346973376,False
